degree,uni,loc,date,details
Cientista de dados / Analista de dados,Olist,Curitiba/PR,Desde Set. 2019,Extração de dados (bancos de dados relacionais e APIs);
Cientista de dados / Analista de dados,Olist,Curitiba/PR,Desde Set. 2019,Limpeza e preparação de dados (data wrangling);
Cientista de dados / Analista de dados,Olist,Curitiba/PR,Desde Set. 2019,Análise exploratória e descritiva;
Cientista de dados / Analista de dados,Olist,Curitiba/PR,Desde Set. 2019,Modelagem preditiva;
Cientista de dados / Analista de dados,Olist,Curitiba/PR,Desde Set. 2019,Elaboração de relatórios e apresentações;
Cientista de dados / Analista de dados,Olist,Curitiba/PR,Desde Set. 2019,Ministração de treinamentos.
Analista de dados,Hi Technologies,Curitiba/PR,Ago. 2018 - Set. 2019,Extração de dados (bancos de dados relacionais,NoSQL e APIs);
Analista de dados,Hi Technologies,Curitiba/PR,Ago. 2018 - Set. 2019,Limpeza e preparação de dados (data wrangling);
Analista de dados,Hi Technologies,Curitiba/PR,Ago. 2018 - Set. 2019,Construção de dashboards interativos (Power BI e Shiny);
Analista de dados,Hi Technologies,Curitiba/PR,Ago. 2018 - Set. 2019,Análise exploratória e descritiva;
Analista de dados,Hi Technologies,Curitiba/PR,Ago. 2018 - Set. 2019,Elaboração de relatórios e apresentações.
Analista de planejamento,Techint Engenharia e Construção,Pontal do Paraná/PR,Jan. 2015 - Ago. 2018,Levantamento de takeoff;
Analista de planejamento,Techint Engenharia e Construção,Pontal do Paraná/PR,Jan. 2015 - Ago. 2018, Programação semanal e controle;
Analista de planejamento,Techint Engenharia e Construção,Pontal do Paraná/PR,Jan. 2015 - Ago. 2018,Acompanhamento de cronograma de construção;
Analista de planejamento,Techint Engenharia e Construção,Pontal do Paraná/PR,Jan. 2015 - Ago. 2018,Análise de critérios e fechamento de boletins de medição;
Analista de planejamento,Techint Engenharia e Construção,Pontal do Paraná/PR,Jan. 2015 - Ago. 2018,Análise de produtividade;
Analista de planejamento,Techint Engenharia e Construção,Pontal do Paraná/PR,Jan. 2015 - Ago. 2018,Elaboração de curvas de acompanhamento;
Analista de planejamento,Techint Engenharia e Construção,Pontal do Paraná/PR,Jan. 2015 - Ago. 2018,Elaboração de relatórios e apresentações gerenciais.



